,número de video ,,,,Lat ,Long,,,
1,1,Seno Snipe,"54°58'21.2""S 67°05'20.0""O",,-54.972542, -67.088875,,01.mp4,
2,2,Bandera 1,"54°59'22.4""S 67°42'11.1""O",,-54.989556,-67.703083,Cerro ,02.mp4,
3,3,Bandera 2,"54°54'53.9""S 67°42'34.7""O",,-54.914972,-67.709639,Beagle,03.mp4,
4,4,Beagle 5,"54°53'34.4""S 70°09'05.3""O",,-54.892889,-70.151472,,04..mp4,
5,5,Beagle 7,"54°53'21.7""S 69°31'39.5""O",,-54.889361,-69.527639,,05.mp4,
6,6,Beagle 8,"54°53'34.4""S 70°09'05.3""O",,-54.892889,-70.151472,,06.mp4,
7,7,Brenock,"54°34'57.2""S 72°06'21.1""O",,-54.582556,-72.105861,,07.mp4,
8,8,Picton,"54°55'19.4""S 67°30'27.3""O",,-54.922053,-67.507581,,08.mp4,
9,9,Toro,"55°01'43.1""S 67°04'49.8""O",,-55.028639,-67.080497,,09.mp4,
10,10,Sombrero,"52°46'26.8""S 69°17'20.3""O",,-52.774111,-69.288972,,10.mp4,
11,12,Hornos Angel?,"55°58'23.0""S 67°15'43.4""O",,-55.973056,-67.262056,,12.mp4,
12,13,Hornos2,"55°57’57.0”S 67°14'41.01”O”,,-55.965831, -67.233628,,13.mp4,
13,14,El Equilibrio ,"54°07'45.7""S 68°41'16.6""O",,-54.129361,-68.687944,,14.mp4,
14,15,Alacalufe,"55°58'13.1""S 67°14'41.5""O",,-55.970306,-67.244861,,15.mp4,
15,17,Base González Videla,"64°51'07.5""S 62°55'12.9""O",,-64.852090,-62.920251,,17.mp4,
16,19.1,Base1,"62°45'21.6""S 60°07'40.8""O",,-62.755999,-60.128009,,19.1.mp4,
17,19.2,Base1,"62°20'18.3""S 58°42'02.9""O",,-62.338407,-58.700805,,19.2.mp4,
18,18.1,Base 2.1,"65°00'02.2""S 63°31'49.2""O",,-65.000606,-63.530323,,18.1.mp4,
19,18.2,Base 2,"64°53'35.0""S 63°49'41.5""O",,-64.893065,-63.828184,,18.2.mp4,
20,20,Helicopt 2,"62°12'38.1"S 58°51'56.1”O”,,-62.210572,-58.865573,,20.mp4,20
21,21,Helicopt 1 (yelcho),"64°52'20.5""S 63°35'46.0""O",,-64.872365, -63.596096,,21.mp4,21
22,22,Helicopt 2,"62°12'38.1""S 58°51'56.1""O",,62.210572,-58.865573,,22.mp4,22
23,32,Cueva Pacífico ,"50°19'57.7""S 75°22'14.6""O",,-50.332704,-75.370711,,23.mp4,24
24,23,Guarelo0,"50°29'38.9""S 75°02'31.0""O",,-50.494133,-75.041954,,24mp4,
25,25,Guarelo,"50°27'05.0""S 75°21'19.2""O",,-50.451378,-75.355331,,25.mp4,25
26,28,Maquinas,"58°46'53.2""S 62°18'53.8""O",,-58.781431,-62.314943,,28.mp4,28
