,número de video ,,,,Lat ,Long,
1,1,Seno Snipe,"54°58'21.2""S 67°05'20.0""O",,-54.972542, -67.088875,
2,2,Bandera 1,"54°59'22.4""S 67°42'11.1""O",,-54.989556,-67.703083,Cerro 
3,3,Bandera 2,"54°54'53.9""S 67°42'34.7""O",,"-54.914972,",-67.709639,Beagle
4,4,Beagle 5,"54°53'34.4""S 70°09'05.3""O",,-54.892889,-70.151472,
5,5,Beagle 7,"54°53'21.7""S 69°31'39.5""O",,-54.889361,-69.527639,
6,6,Beagle 8,"54°53'34.4""S 70°09'05.3""O",,-54.892889,-70.151472,
7,7,Brenock,"54°34'57.2""S 72°06'21.1""O",,-54.582556,-72.105861,
8,8,Picton,"54°55'19.4""S 67°30'27.3""O",,-54.922053,-67.507581,
9,9,Toro,"55°01'43.1""S 67°04'49.8""O",,-55.028639,-67.080497,
10,10,Sombrero,"52°46'26.8""S 69°17'20.3""O",,-52.774111,-69.288972,
11,12,Hornos Angel?,"55°58'23.0""S 67°15'43.4""O",,-55.973056,-67.262056,
12,13,Hornos2,"5°58'13.1""S 67°14'41.5""O",,-5.970306,-67.244861,
13,14,El Equilibrio ,"54°07'45.7""S 68°41'16.6""O",,-54.129361,-68.687944,
14,15,Alacalufe,"55°58'13.1""S 67°14'41.5""O",,-55.970306,-67.244861,
15,17,Base 1                base González Videla,"64°51'07.5""S 62°55'12.9""O",,-64.852090,-62.920251,
16,18.1,Base 2,"65°00'02.2""S 63°31'49.2""O",,-65.000606,-63.530323,
17,18.2,Fieldes ,"64°53'35.0""S 63°49'41.5""O",,-64.893065,-63.828184,
18,19.1,Shedlands,"62°39'50.8""S 62°09'43.5""O",,-62.664103,-62.162083,
19,19.2,Helicopt 1 (yelcho),"64°52'20.5""S 63°35'46.0""O",,-64.872365, -63.596096,
20,20,Helicopt 2,"62°12'38.1""S 58°51'56.1""O",,62.210572,-58.865573,
21,21,Cueva Pacífico ,"50°19'57.7""S 75°22'14.6""O",,-50.332704,-75.370711,
23,23,Guarelo,"50°27'05.0""S 75°21'19.2""O",,-50.451378,-75.355331,
24,24,Maquinas,"58°46'53.2""S 62°18'53.8""O",,-58.781431,-62.314943,
